epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6314,1.26706,5.00185,1.64762,0.00205,0.8,0.00204,0.00129,0.93311,8.80143,1.71713,0.00012,0.00012,0.00012
2,27.1306,0.83173,3.40436,1.20579,0.84848,1,0.97682,0.93999,0.3666,5.88952,0.83557,0.00025571,0.00025571,0.00025571
3,30.3068,0.53634,1.23519,0.90927,0.40711,0.5,0.42279,0.41586,0.34652,5.97677,0.8591,0.0003868,0.0003868,0.0003868
4,33.0527,0.48765,0.87873,0.88337,0.09699,0.9,0.10691,0.10005,0.37468,10.6241,0.84078,0.00051327,0.00051327,0.00051327
5,35.5489,0.54229,0.74147,0.90201,0.01007,1,0.01022,0.00987,0.31846,131.186,0.82312,0.00063512,0.00063512,0.00063512
6,38.0074,0.51884,0.62001,0.88643,0.0187,1,0.02108,0.01936,0.39075,38.4772,0.86641,0.00075235,0.00075235,0.00075235
7,40.4531,0.56626,0.64476,0.90261,0.2647,1,0.52431,0.48999,0.484,4.75177,0.91363,0.00086496,0.00086496,0.00086496
8,43.5751,0.53034,0.5976,0.86801,0.69792,0.92552,0.75431,0.70191,0.42466,2.86052,0.864,0.00097295,0.00097295,0.00097295
9,46.2523,0.54088,0.52853,0.88525,0.90657,1,0.995,0.8833,0.5018,0.88786,0.88803,0.00107632,0.00107632,0.00107632
10,48.7393,0.5479,0.5152,0.88885,0.97131,1,0.995,0.90752,0.45805,0.86813,0.86526,0.00117507,0.00117507,0.00117507
11,51.1522,0.5366,0.53051,0.89088,0.71117,0.9,0.8971,0.78794,0.53123,2.60627,0.92186,0.0012692,0.0012692,0.0012692
12,53.5762,0.54302,0.48507,0.88153,0.95492,1,0.995,0.89729,0.48525,1.55147,0.88178,0.00135871,0.00135871,0.00135871
13,56.7898,0.51821,0.46993,0.88275,0.95882,1,0.995,0.91502,0.42337,1.24379,0.85894,0.0014436,0.0014436,0.0014436
14,59.37,0.52018,0.51701,0.87701,0.79935,0.7,0.80985,0.68994,0.75039,1.38902,1.12237,0.00152387,0.00152387,0.00152387
15,61.7534,0.54361,0.50259,0.88409,0.8568,0.59855,0.58347,0.52259,0.76227,1.51524,1.42993,0.001538,0.001538,0.001538
16,64.1901,0.51272,0.46638,0.88162,0.88729,0.78849,0.78423,0.68615,0.74266,1.29981,1.20972,0.001505,0.001505,0.001505
17,66.5555,0.51829,0.45866,0.88598,0.95474,0.6,0.64919,0.52199,0.79274,1.03275,1.21715,0.001472,0.001472,0.001472
18,69.7018,0.49786,0.42936,0.87114,0.75028,0.6,0.62861,0.55361,0.96053,1.45318,1.77213,0.001439,0.001439,0.001439
19,72.342,0.48586,0.45977,0.86791,0.94104,0.7,0.69629,0.6617,0.58765,1.2772,0.99805,0.001406,0.001406,0.001406
20,74.9831,0.49444,0.44322,0.87877,0.97576,1,0.995,0.94923,0.38395,0.51979,0.84268,0.001373,0.001373,0.001373
21,77.4493,0.50302,0.45771,0.87409,0.89092,1,0.995,0.94284,0.38526,0.52811,0.84535,0.00134,0.00134,0.00134
22,79.9735,0.5012,0.39933,0.88432,0.90403,0.94434,0.98591,0.91534,0.39461,0.65398,0.84863,0.001307,0.001307,0.001307
23,83.2679,0.4863,0.39782,0.88016,0.97139,1,0.995,0.92673,0.37426,0.66693,0.83511,0.001274,0.001274,0.001274
24,85.6377,0.49243,0.38931,0.86432,0.97376,1,0.995,0.93581,0.34661,0.52897,0.83233,0.001241,0.001241,0.001241
25,88.0666,0.45211,0.39174,0.86166,0.97666,1,0.995,0.92412,0.37994,0.45245,0.84273,0.001208,0.001208,0.001208
26,90.4974,0.47223,0.39409,0.86741,0.97659,1,0.995,0.95445,0.34255,0.43118,0.82659,0.001175,0.001175,0.001175
27,93.0179,0.45102,0.36453,0.87801,0.966,1,0.995,0.9238,0.34707,0.39841,0.84621,0.001142,0.001142,0.001142
28,96.2362,0.4552,0.36973,0.87335,0.97654,1,0.995,0.93109,0.34969,0.37414,0.83516,0.001109,0.001109,0.001109
29,98.6706,0.44945,0.37005,0.8463,0.97769,1,0.995,0.96861,0.34912,0.41359,0.83365,0.001076,0.001076,0.001076
30,101.172,0.45766,0.37161,0.86685,0.97091,1,0.995,0.95273,0.31778,0.3064,0.82701,0.001043,0.001043,0.001043
31,103.658,0.45415,0.35576,0.87615,0.98654,1,0.995,0.97226,0.34961,0.27488,0.84083,0.00101,0.00101,0.00101
32,106.37,0.47172,0.36974,0.87061,0.97479,1,0.995,0.96547,0.29795,0.29273,0.82568,0.000977,0.000977,0.000977
33,109.377,0.43827,0.36079,0.86207,0.95927,1,0.995,0.96716,0.31025,0.31492,0.82691,0.000944,0.000944,0.000944
34,111.907,0.45783,0.37431,0.8741,0.97275,1,0.995,0.95033,0.30842,0.30144,0.83408,0.000911,0.000911,0.000911
